week,day,hour,avg_queue_time,row_count,prev_avg1,prev_week_avg
1,1,7,1.37608,3,1.37608,3.86293
1,1,8,1.73035,5,1.37608,3.37418
1,1,9,0,3,1.73035,0
1,1,10,2.27414,11,0,5.51463
1,1,11,4.58625,5,2.27414,3.19688
1,1,12,5.75653,8,4.58625,0
1,1,13,5.73946,5,5.75653,5.10481
1,1,14,0,4,5.73946,0
1,1,15,3.75315,7,0,2.15413
1,1,16,6.55804,10,3.75315,1.81087
1,1,17,7.3404,11,6.55804,0.665479
1,1,18,0.646277,3,7.3404,0
1,1,19,0,1,0.646277,1.2943
1,1,20,3.08264,2,0,1.15474
1,1,21,0,2,3.08264,0
1,2,7,3.60257,3,3.60257,13.0275
1,2,8,0,2,3.60257,2.4176
1,2,9,1.11493,6,0,6.71553
1,2,10,9.87159,15,1.11493,26.054
1,2,11,14.0331,9,9.87159,22.2966
1,2,12,0.735547,8,14.0331,8.15204
1,2,13,6.95622,13,0.735547,7.76821
1,2,14,2.91254,8,6.95622,14.5149
1,2,15,7.10342,8,2.91254,6.56557
1,2,16,6.54197,9,7.10342,5.04548
1,2,17,2.25062,10,6.54197,12.0052
1,2,18,6.45867,5,2.25062,8.51259
1,2,19,7.89607,5,6.45867,4.93294
1,2,20,1.08833,5,7.89607,0.0842662
1,2,21,1.43952,5,1.08833,2.17476
1,3,7,4.93963,12,4.93963,2.83904
1,3,8,20.9931,14,4.93963,4.84674
1,3,9,10.6167,13,20.9931,5.37059
1,3,10,33.6802,31,10.6167,18.67
1,3,11,22.5755,22,33.6802,4.25397
1,3,12,16.8486,17,22.5755,10.0823
1,3,13,26.9853,13,16.8486,13.6328
1,3,14,27.6995,22,26.9853,1.80321
1,3,15,20.445,28,27.6995,2.7337
1,3,16,14.1705,19,20.445,28.3302
1,3,17,26.5446,33,14.1705,26.0642
1,3,18,8.44015,14,26.5446,1.28585
1,3,19,3.18859,13,8.44015,1.29438
1,3,20,4.15903,8,3.18859,0.866569
1,3,21,1.96346,6,4.15903,3.6587
1,4,7,14.096,11,14.096,21.2098
1,4,8,4.40532,12,14.096,9.96233
1,4,9,8.50401,13,4.40532,21.6369
1,4,10,36.4895,29,8.50401,23.5197
1,4,11,6.32154,14,36.4895,19.9836
1,4,12,4.82069,11,6.32154,23.9122
1,4,13,22.1563,15,4.82069,35.5586
1,4,14,20.7309,20,22.1563,23.542
1,4,15,22.5115,22,20.7309,18.893
1,4,16,19.3333,22,22.5115,25.8306
1,4,17,14.7835,29,19.3333,25.9735
1,4,18,3.81608,6,14.7835,22.1881
1,4,19,7.09699,9,3.81608,9.00641
1,4,20,13.1751,7,7.09699,23.7854
1,4,21,13.6789,13,13.1751,9.98386
1,5,7,24.7868,23,24.7868,5.16667
1,5,8,19.3748,22,24.7868,26.3388
1,5,9,24.3117,24,19.3748,15.5917
1,5,10,32.6671,58,24.3117,31.825
1,5,11,26.1495,44,32.6671,22.9083
1,5,12,34.8301,35,26.1495,23.5662
1,5,13,22.4361,37,34.8301,29.7411
1,5,14,26.2542,34,22.4361,24.8801
1,5,15,21.1022,29,26.2542,35.6448
1,5,16,27.0708,40,21.1022,28.3103
1,5,17,32.0868,53,27.0708,34.598
1,5,18,31.9522,25,32.0868,10.3665
1,5,19,18.2611,17,31.9522,5.99219
1,5,20,17.4642,19,18.2611,16.613
1,5,21,23.206,21,17.4642,6.32751
1,5,22,11.4027,3,23.206,3.60398
2,1,7,3.86293,6,3.86293,5.50955
2,1,8,3.37418,2,3.86293,4.4981
2,1,9,0,4,3.37418,1.12207
2,1,10,5.51463,5,0,4.73937
2,1,11,3.19688,7,5.51463,11.9587
2,1,12,0,1,3.19688,4.78006
2,1,13,5.10481,5,0,5.14849
2,1,14,0,3,5.10481,19.4698
2,1,15,2.15413,4,0,3.45462
2,1,16,1.81087,2,2.15413,1.06179
2,1,17,0.665479,5,1.81087,2.56102
2,1,18,0,2,0.665479,0
2,1,19,1.2943,5,0,0
2,1,20,1.15474,2,1.2943,0
2,1,21,0,2,1.15474,5.59587
2,1,22,0,1,0,0
2,2,7,13.0275,10,13.0275,4.77579
2,2,8,2.4176,8,13.0275,2.79831
2,2,9,6.71553,10,2.4176,4.81953
2,2,10,26.054,22,6.71553,18.7417
2,2,11,22.2966,18,26.054,0
2,2,12,8.15204,12,22.2966,0.886521
2,2,13,7.76821,11,8.15204,2.86868
2,2,14,14.5149,17,7.76821,1.52398
2,2,15,6.56557,14,14.5149,14.3657
2,2,16,5.04548,15,6.56557,4.47533
2,2,17,12.0052,20,5.04548,3.94292
2,2,18,8.51259,11,12.0052,2.3781
2,2,19,4.93294,8,8.51259,2.65417
2,2,20,0.0842662,5,4.93294,0.0443654
2,2,21,2.17476,7,0.0842662,1.98658
2,3,7,2.83904,7,2.83904,6.26223
2,3,8,4.84674,8,2.83904,16.5634
2,3,9,5.37059,11,4.84674,3.69523
2,3,10,18.67,22,5.37059,28.7722
2,3,11,4.25397,11,18.67,14.658
2,3,12,10.0823,13,4.25397,6.91207
2,3,13,13.6328,15,10.0823,20.0475
2,3,14,1.80321,11,13.6328,13.9798
2,3,15,2.7337,12,1.80321,14.7199
2,3,16,28.3302,15,2.7337,26.9317
2,3,17,26.0642,28,28.3302,12.2174
2,3,18,1.28585,6,26.0642,5.82188
2,3,19,1.29438,3,1.28585,1.9236
2,3,20,0.866569,6,1.29438,3.33877
2,3,21,3.6587,7,0.866569,1.59915
2,4,7,21.2098,24,21.2098,8.71164
2,4,8,9.96233,16,21.2098,21.7099
2,4,9,21.6369,13,9.96233,22.2031
2,4,10,23.5197,32,21.6369,36.642
2,4,11,19.9836,30,23.5197,29.0207
2,4,12,23.9122,29,19.9836,24.0632
2,4,13,35.5586,24,23.9122,20.8997
2,4,14,23.542,26,35.5586,33.355
2,4,15,18.893,29,23.542,16.814
2,4,16,25.8306,26,18.893,32.2594
2,4,17,25.9735,37,25.8306,29.8333
2,4,18,22.1881,18,25.9735,5.36923
2,4,19,9.00641,13,22.1881,4.67979
2,4,20,23.7854,17,9.00641,6.39841
2,4,21,9.98386,16,23.7854,4.38603
2,4,22,13.315,3,9.98386,0
2,5,7,5.16667,11,5.16667,29.8987
2,5,8,26.3388,32,5.16667,19.5303
2,5,9,15.5917,15,26.3388,9.60272
2,5,10,31.825,50,15.5917,36.1818
2,5,11,22.9083,23,31.825,18.0895
2,5,12,23.5662,30,22.9083,31.4785
2,5,13,29.7411,29,23.5662,35.6641
2,5,14,24.8801,31,29.7411,14.9345
2,5,15,35.6448,25,24.8801,30.5441
2,5,16,28.3103,24,35.6448,26.8937
2,5,17,34.598,58,28.3103,29.068
2,5,18,10.3665,15,34.598,29.1342
2,5,19,5.99219,14,10.3665,11.8197
2,5,20,16.613,13,5.99219,21.552
2,5,21,6.32751,11,16.613,19.6502
2,5,22,3.60398,1,6.32751,3.60398
3,1,7,5.50955,4,5.50955,2.05129
3,1,8,4.4981,8,5.50955,0
3,1,9,1.12207,3,4.4981,9.86304
3,1,10,4.73937,9,1.12207,4.78654
3,1,11,11.9587,11,4.73937,2.35571
3,1,12,4.78006,11,11.9587,0
3,1,13,5.14849,7,4.78006,2.03834
3,1,14,19.4698,11,5.14849,2.9296
3,1,15,3.45462,6,19.4698,0
3,1,16,1.06179,5,3.45462,1.32784
3,1,17,2.56102,9,1.06179,0.141414
3,1,18,0,1,2.56102,0
3,1,19,0,4,0,0.625646
3,1,20,0,2,0,0
3,1,21,5.59587,5,0,0
3,2,7,4.77579,8,4.77579,1.69263
3,2,8,2.79831,9,4.77579,4.00385
3,2,9,4.81953,7,2.79831,1.18905
3,2,10,18.7417,21,4.81953,35.338
3,2,11,0,4,18.7417,1.96095
3,2,12,0.886521,7,0,6.83342
3,2,13,2.86868,10,0.886521,15.0995
3,2,14,1.52398,6,2.86868,2.63687
3,2,15,14.3657,10,1.52398,5.65337
3,2,16,4.47533,12,14.3657,6.58485
3,2,17,3.94292,14,4.47533,13.3957
3,2,18,2.3781,6,3.94292,1.65647
3,2,19,2.65417,5,2.3781,4.49346
3,2,20,0.0443654,4,2.65417,3.1734
3,2,21,1.98658,6,0.0443654,1.29832
3,3,7,6.26223,9,6.26223,12.8153
3,3,8,16.5634,15,6.26223,2.66463
3,3,9,3.69523,7,16.5634,7.22338
3,3,10,28.7722,26,3.69523,12.2417
3,3,11,14.658,16,28.7722,25.1668
3,3,12,6.91207,9,14.658,15.1809
3,3,13,20.0475,13,6.91207,7.35889
3,3,14,13.9798,23,20.0475,19.516
3,3,15,14.7199,11,13.9798,14.7252
3,3,16,26.9317,16,14.7199,17.8937
3,3,17,12.2174,19,26.9317,18.0184
3,3,18,5.82188,9,12.2174,6.02017
3,3,19,1.9236,6,5.82188,1.84966
3,3,20,3.33877,9,1.9236,11.9667
3,3,21,1.59915,5,3.33877,11.5281
