week,day,hour,avg_queue_time,row_count,prev_avg1,prev_week_avg
1,1,7,0.0862617,3,0.0862617,0.0862617
1,1,8,1.37926,7,0.0862617,5.63197
1,1,9,0,3,1.37926,0
1,1,10,3.26112,7,0,0.345918
1,1,11,3.15643,11,3.26112,1.88337
1,1,12,10.3535,9,3.15643,0.822753
1,1,13,2.47097,8,10.3535,0
1,1,14,4.02195,4,2.47097,0
1,1,15,3.84409,7,4.02195,4.43129
1,1,16,6.16476,9,3.84409,0.360608
1,1,17,6.90658,11,6.16476,4.83033
1,1,18,7.53379,4,6.90658,0
1,1,19,1.90845,4,7.53379,1.99205
1,1,20,6.85611,4,1.90845,0
1,1,21,0,1,6.85611,0
1,2,7,6.83755,6,6.83755,1.87681
1,2,8,1.82538,5,6.83755,2.72035
1,2,9,3.22329,7,1.82538,1.07963
1,2,10,21.7764,16,3.22329,25.518
1,2,11,6.01939,13,21.7764,6.85372
1,2,12,3.34073,6,6.01939,11.444
1,2,13,13.0993,10,3.34073,1.04925
1,2,14,5.89265,8,13.0993,5.934
1,2,15,5.72822,7,5.89265,14.7516
1,2,16,9.31017,11,5.72822,2.52777
1,2,17,2.76787,9,9.31017,7.21608
1,2,18,3.38565,5,2.76787,3.74638
1,2,19,0,3,3.38565,1.66198
1,2,20,4.2711,8,0,3.88769
1,2,21,1.88819,4,4.2711,4.45855
1,3,7,2.8427,5,2.8427,3.56328
1,3,8,8.2089,10,2.8427,3.75397
1,3,9,6.74394,12,8.2089,3.42227
1,3,10,27.0992,17,6.74394,28.756
1,3,11,4.60356,9,27.0992,31.7039
1,3,12,21.1323,15,4.60356,26.9421
1,3,13,8.00876,11,21.1323,10.3919
1,3,14,18.7802,17,8.00876,9.51099
1,3,15,8.95208,11,18.7802,12.6958
1,3,16,4.043,9,8.95208,16.1446
1,3,17,4.87646,15,4.043,19.1694
1,3,18,1.25919,6,4.87646,3.49849
1,3,19,8.72475,6,1.25919,5.49293
1,3,20,0.305716,4,8.72475,4.48415
1,3,21,3.72692,8,0.305716,17.0112
1,3,22,5.73411,1,3.72692,5.73411
1,4,7,22.988,12,22.988,11.869
1,4,8,4.8884,11,22.988,3.43343
1,4,9,5.68359,14,4.8884,9.65083
1,4,10,14.9752,33,5.68359,29.6938
1,4,11,29.5602,29,14.9752,24.1171
1,4,12,9.30891,20,29.5602,26.5763
1,4,13,19.4403,17,9.30891,23.1047
1,4,14,17.7848,16,19.4403,18.4351
1,4,15,19.8804,21,17.7848,29.2026
1,4,16,18.9796,30,19.8804,16.5401
1,4,17,35.4488,38,18.9796,14.3529
1,4,18,24.8749,20,35.4488,11.3494
1,4,19,3.01537,8,24.8749,3.02947
1,4,20,8.61576,13,3.01537,4.59584
1,4,21,2.80083,11,8.61576,19.3156
1,4,22,0,1,2.80083,0
1,5,7,8.32546,16,8.32546,7.75182
1,5,8,19.4101,24,8.32546,15.2008
1,5,9,4.96602,16,19.4101,15.3082
1,5,10,34.3303,45,4.96602,28.9781
1,5,11,25.0231,42,34.3303,33.321
1,5,12,14,23,25.0231,30.7306
1,5,13,24.0655,29,14,30.8759
1,5,14,36.1104,30,24.0655,35.5312
1,5,15,12.9028,20,36.1104,20.69
1,5,16,23.5424,28,12.9028,21.6065
1,5,17,30.7806,35,23.5424,29.6336
1,5,18,8.08245,8,30.7806,16.7276
1,5,19,15.1546,17,8.08245,5.16612
1,5,20,2.91758,11,15.1546,20.7787
1,5,21,11.5199,13,2.91758,12.5213
1,5,22,3.86279,2,11.5199,0
2,1,8,5.63197,5,5.63197,3.27585
2,1,9,0,3,5.63197,2.41527
2,1,10,0.345918,3,0,13.1106
2,1,11,1.88337,4,0.345918,3.98581
2,1,12,0.822753,4,1.88337,5.36485
2,1,13,0,1,0.822753,3.07337
2,1,14,0,2,0,0
2,1,15,4.43129,9,0,0
2,1,16,0.360608,4,4.43129,5.85274
2,1,17,4.83033,10,0.360608,7.82692
2,1,18,0,4,4.83033,0
2,1,19,1.99205,3,0,0.912375
2,1,20,0,2,1.99205,4.46413
2,1,21,0,1,0,3.73054
2,1,22,0,1,0,0
2,2,7,1.87681,7,1.87681,1.48594
2,2,8,2.72035,10,1.87681,5.25542
2,2,9,1.07963,5,2.72035,6.99474
2,2,10,25.518,16,1.07963,4.8761
2,2,11,6.85372,8,25.518,5.77134
2,2,12,11.444,9,6.85372,1.42636
2,2,13,1.04925,6,11.444,0.182727
2,2,14,5.934,9,1.04925,28.5498
2,2,15,14.7516,18,5.934,4.48119
2,2,16,2.52777,8,14.7516,6.51382
2,2,17,7.21608,11,2.52777,2.70843
2,2,18,3.74638,9,7.21608,2.14346
2,2,19,1.66198,6,3.74638,4.99465
2,2,20,3.88769,8,1.66198,0
2,2,21,4.45855,6,3.88769,0
2,3,7,3.56328,6,3.56328,2.96754
2,3,8,3.75397,8,3.56328,1.50853
2,3,9,3.42227,6,3.75397,4.05206
2,3,10,28.756,24,3.42227,13.0917
2,3,11,31.7039,21,28.756,10.083
2,3,12,26.9421,17,31.7039,23.2151
2,3,13,10.3919,19,26.9421,13.9908
2,3,14,9.51099,18,10.3919,14.9179
2,3,15,12.6958,18,9.51099,4.58325
2,3,16,16.1446,12,12.6958,16.6023
2,3,17,19.1694,25,16.1446,15.5578
2,3,18,3.49849,4,19.1694,1.67166
2,3,19,5.49293,13,3.49849,1.27489
2,3,20,4.48415,8,5.49293,4.01815
2,3,21,17.0112,15,4.48415,1.1181
2,4,7,11.869,17,11.869,11.1893
2,4,8,3.43343,14,11.869,17.6171
2,4,9,9.65083,14,3.43343,4.78259
2,4,10,29.6938,29,9.65083,27.0445
2,4,11,24.1171,23,29.6938,8.75867
2,4,12,26.5763,20,24.1171,13.1632
2,4,13,23.1047,24,26.5763,20.6368
2,4,14,18.4351,21,23.1047,22.5752
2,4,15,29.2026,25,18.4351,26.6211
2,4,16,16.5401,22,29.2026,4.87374
2,4,17,14.3529,31,16.5401,30.7548
2,4,18,11.3494,16,14.3529,1.98412
2,4,19,3.02947,10,11.3494,2.13029
2,4,20,4.59584,7,3.02947,5.26239
2,4,21,19.3156,14,4.59584,20.381
2,5,7,7.75182,18,7.75182,15.2365
2,5,8,15.2008,23,7.75182,24.9197
2,5,9,15.3082,20,15.2008,25.7276
2,5,10,28.9781,52,15.3082,23.4455
2,5,11,33.321,38,28.9781,16.7961
2,5,12,30.7306,35,33.321,30.0664
2,5,13,30.8759,31,30.7306,35.1061
2,5,14,35.5312,30,30.8759,19.2798
2,5,15,20.69,25,35.5312,25.2216
2,5,16,21.6065,23,20.69,27.2994
2,5,17,29.6336,27,21.6065,35.3072
2,5,18,16.7276,17,29.6336,10.857
2,5,19,5.16612,12,16.7276,21.7268
2,5,20,20.7787,18,5.16612,19.2794
2,5,21,12.5213,14,20.7787,23.8719
2,5,22,0,1,12.5213,5.93139
3,1,7,1.31075,4,1.31075,0
3,1,8,3.27585,6,1.31075,0
